company,sector,Sharpe Ratio,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio,ESG_ranking
BBY,RETAIL,0.383665561,12.58,3.73,0.38,3.19,3.01,1.49,8.69,26.69,12
BAC,BANK,0.322809147,11.39,1.26,1.71,0.54,15.7,0.92,0.67,5.54,26.3
AXP,BANK,0.238641964,10.58,5.64,1.67,2.6,15.68,1.91,3.39,25.78,19.8
KSS,RETAIL,0.428559475,11.09,3.27,0.36,1.25,3.17,1.6,4.41,11.35,12.9
JPM,BANK,0.194611787,9.38,5.46,1.87,0.81,19.91,0.99,0.81,8.91,27.9
PEP,FMCG,0.13762117,21.03,4.56,2.27,10.83,10.74,1.32,9.29,54.98,17.6
FB,TECH,0.372203371,75.28,1.05,18.34,9.66,24.55,13.06,13.43,15.32,31.6
UBS,BANK,0.265056903,10.34,1.71,1.63,0,16.29,1.19,0.64,11.36,24.8
BAC,BANK,0.214592173,15.98,0.96,1.76,0.64,11.05,0.94,0.49,4.26,26.3
JPM,BANK,0.22793132,9.51,5.99,2.11,0.84,22.43,1.02,0.92,9.34,27.9
